Year,Year,Rain Color,Avg. Annual Rainfall in mm,Difference in Avg. Annual Rainfall in mm
2019,2019,Very Low,496.771428571,-269.542857143
2018,2018,LOW,766.314285714,-67.500000000
2017,2017,Med,833.814285714,46.228571429
2016,2016,LOW,787.585714286,60.419047619
2015,2015,LOW,727.166666667,39.333333333
2014,2014,LOW,687.833333333,-165.966666667
2013,2013,Med,853.8,122.957142857
2012,2012,LOW,730.842857143,-350.1
2011,2011,High,1080.942857143,170
2010,2010,,910.942857143,125.242857143
2009,2009,LOW,785.7,-48.914285714
2008,2008,Med,834.614285714,57.047619048
2007,2007,LOW,777.566666667,146.538095238
2006,2006,LOW,631.028571429,-63.971428571
2005,2005,LOW,695,-63.857142857
2004,2004,LOW,758.857142857,-55.528571429
2003,2003,Med,814.385714286,230.157142857
2002,2002,LOW,584.228571429,-190.514285714
2001,2001,LOW,774.742857143,58.628571429
2000,2000,LOW,716.114285714,-202.619047619
1999,1999,,918.733333333,-46.609523810
1998,1998,,965.342857143,167.142857143
1997,1997,LOW,798.2,-76.8
1996,1996,Med,875,-89.257142857
1995,1995,,964.257142857,344.142857143
1994,1994,LOW,620.114285714,-68.228571429
1993,1993,LOW,688.342857143,-153.657142857
1992,1992,Med,842,0.285714286
1991,1991,Med,841.714285714,2.771428571
1990,1990,Med,838.942857143,4.228571429
1989,1989,Med,834.714285714,-162.114285714
1988,1988,,996.828571429,164.714285714
1987,1987,Med,832.114285714,36.4
1986,1986,LOW,795.714285714,75.371428571
1985,1985,LOW,720.342857143,-133.971428571
1984,1984,Med,854.314285714,-39.157142857
1983,1983,Med,893.471428571,235.528571429
1982,1982,LOW,657.942857143,-224.128571429
1981,1981,Med,882.071428571,191.114285714
1980,1980,LOW,690.957142857,23.914285714
1979,1979,LOW,667.042857143,-284.671428571
1978,1978,,951.714285714,108.428571429
1977,1977,Med,843.285714286,-66.371428571
1976,1976,,909.657142857,-34.871428571
1975,1975,,944.528571429,-238.1
1974,1974,High,1182.628571429,224.628571429
1973,1973,,958,170.214285714
1972,1972,LOW,787.785714286,-123.342857143
1971,1971,,911.128571429,107.685714286
1970,1970,Med,803.442857143,-57.628571429
1969,1969,Med,861.071428571,72.814285714
1968,1968,LOW,788.257142857,-59.942857143
1967,1967,Med,848.2,65.185714286
1966,1966,LOW,783.014285714,41.485714286
1965,1965,LOW,741.528571429,-144.757142857
1964,1964,Med,886.285714286,-67.114285714
1963,1963,,953.4,143.828571429
1962,1962,Med,809.571428571,81.385714286
1961,1961,LOW,728.185714286,-101.485714286
1960,1960,Med,829.671428571,22.871428571
1959,1959,Med,806.8,-29.671428571
1958,1958,Med,836.471428571,74.657142857
1957,1957,LOW,761.814285714,-351.385714286
1956,1956,High,1113.2,96.842857143
1955,1955,High,1016.357142857,138.2
1954,1954,Med,878.157142857,32.528571429
1953,1953,Med,845.628571429,1.714285714
1952,1952,Med,843.914285714,103.657142857
1951,1951,LOW,740.257142857,
