Day of Acq Date,Count of index (copy)
"January 14, 2020",777
"January 13, 2020",1973
"January 12, 2020",963
"January 11, 2020",1200
"January 10, 2020",575
"January 9, 2020",773
"January 8, 2020",1026
"January 7, 2020",1242
"January 6, 2020",931
"January 5, 2020",913
"January 4, 2020",7350
"January 3, 2020",4257
"January 2, 2020",4389
"January 1, 2020",3686
"December 31, 2019",3439
"December 30, 2019",6926
"December 29, 2019",3235
"December 28, 2019",2381
"December 27, 2019",1917
"December 26, 2019",2198
"December 25, 2019",2030
"December 24, 2019",1522
"December 23, 2019",1445
"December 22, 2019",1496
"December 21, 2019",4032
"December 20, 2019",3721
"December 19, 2019",4769
"December 18, 2019",3997
"December 17, 2019",2689
"December 16, 2019",2860
"December 15, 2019",2743
"December 14, 2019",2293
"December 13, 2019",973
"December 12, 2019",842
"December 11, 2019",886
"December 10, 2019",1586
"December 9, 2019",2946
"December 8, 2019",1898
"December 7, 2019",2744
"December 6, 2019",3787
"December 5, 2019",3486
"December 4, 2019",3146
"December 3, 2019",2386
"December 2, 2019",1894
"December 1, 2019",1141
"November 30, 2019",670
"November 29, 2019",949
"November 28, 2019",849
"November 27, 2019",837
"November 26, 2019",921
"November 25, 2019",1024
"November 24, 2019",964
"November 23, 2019",1090
"November 22, 2019",1554
"November 21, 2019",1758
"November 20, 2019",1406
"November 19, 2019",2422
"November 18, 2019",1862
"November 17, 2019",1669
"November 16, 2019",1644
"November 15, 2019",2624
"November 14, 2019",1814
"November 13, 2019",1856
"November 12, 2019",3345
"November 11, 2019",1336
"November 10, 2019",2607
"November 9, 2019",3141
"November 8, 2019",4097
"November 7, 2019",2638
"November 6, 2019",957
"November 5, 2019",658
"November 4, 2019",892
"November 3, 2019",539
"November 2, 2019",561
"November 1, 2019",447
"October 31, 2019",764
"October 30, 2019",678
"October 29, 2019",605
"October 28, 2019",767
"October 27, 2019",816
"October 26, 2019",842
"October 25, 2019",831
"October 24, 2019",898
"October 23, 2019",1154
"October 22, 2019",1232
"October 21, 2019",2073
"October 20, 2019",1193
"October 19, 2019",1408
"October 18, 2019",939
"October 17, 2019",853
"October 16, 2019",837
"October 15, 2019",722
"October 14, 2019",1125
"October 13, 2019",756
"October 12, 2019",907
"October 11, 2019",775
"October 10, 2019",819
"October 9, 2019",884
"October 8, 2019",1233
"October 7, 2019",637
"October 6, 2019",713
"October 5, 2019",1212
"October 4, 2019",975
"October 3, 2019",769
"October 2, 2019",399
"October 1, 2019",896
"September 30, 2019",669
"September 29, 2019",520
"September 28, 2019",525
"September 27, 2019",455
"September 26, 2019",345
"September 25, 2019",293
"September 24, 2019",454
"September 23, 2019",389
"September 22, 2019",294
"September 21, 2019",241
"September 20, 2019",362
"September 19, 2019",426
"September 18, 2019",414
"September 17, 2019",512
"September 16, 2019",599
"September 15, 2019",932
"September 14, 2019",893
"September 13, 2019",981
"September 12, 2019",940
"September 11, 2019",889
"September 10, 2019",1317
"September 9, 2019",1230
"September 8, 2019",1200
"September 7, 2019",1075
"September 6, 2019",1200
"September 5, 2019",534
